Date,Close
2025-02-17,8326.1328125
2025-02-18,8237.8203125
2025-02-19,8269.908203125
2025-02-20,8416.8828125
2025-02-21,8295.8017578125
2025-02-24,8238.1630859375
2025-02-25,8209.8310546875
2025-02-27,8028.8662109375
2025-02-28,7707.56005859375
2025-03-03,7524.109375
2025-03-04,7152.0390625
2025-03-05,7236.888671875
2025-03-06,7277.8017578125
2025-03-07,7387.52099609375
2025-03-10,7200.90087890625
2025-03-11,7314.5703125
2025-03-12,7329.29638671875
2025-03-13,7319.20263671875
2025-03-17,7301.01318359375
2025-03-18,7301.01318359375
2025-03-19,7530.9853515625
2025-03-20,7724.2373046875
2025-03-21,7868.43310546875
2025-03-24,7924.70654296875
2025-03-25,7808.11181640625
2025-03-26,7779.92626953125
2025-03-27,7777.19482421875
2025-03-28,7684.1044921875
2025-04-01,7795.4814453125
2025-04-02,7873.40673828125
2025-04-03,7716.63037109375
2025-04-04,7495.1435546875
2025-04-07,7126.19384765625
2025-04-08,7312.716796875
2025-04-09,7385.13134765625
2025-04-11,7576.8232421875
2025-04-15,7797.87109375
2025-04-16,7764.71142578125
2025-04-17,7819.81494140625
2025-04-21,8043.642578125
2025-04-22,7939.77490234375
2025-04-23,8057.29638671875
2025-04-24,7998.779296875
2025-04-25,7835.41943359375
2025-04-28,7895.88720703125
2025-04-29,7878.81982421875
2025-04-30,7831.5185546875
2025-05-02,7627.19677734375
2025-05-05,7724.72509765625
2025-05-06,7749.10693359375
2025-05-07,7654.9921875
2025-05-08,7533.56982421875
2025-05-09,7492.60791015625
2025-05-12,7840.78369140625
2025-05-13,7863.70263671875
2025-05-14,7902.2265625
2025-05-15,8120.2021484375
2025-05-16,8272.833984375
2025-05-19,8632.2255859375
2025-05-20,8353.294921875
2025-05-21,8472.7666015625
2025-05-22,8517.6298828125
2025-05-23,8524.9443359375
2025-05-26,8737.068359375
2025-05-27,8741.45703125
2025-05-28,8630.2744140625
2025-05-29,8655.14453125
2025-05-30,8394.2568359375
2025-06-02,8303.0673828125
2025-06-03,8351.34375
2025-06-04,8351.83203125
2025-06-05,8345.9794921875
2025-06-06,8423.5146484375
2025-06-09,8427.416015625
2025-06-10,8412.787109375
2025-06-11,8503.48828125
2025-06-12,8355.2451171875
2025-06-13,8254.3037109375
2025-06-16,8318.671875
2025-06-17,8284.537109375
2025-06-18,8258.6923828125
2025-06-19,8286.0
2025-06-20,8371.0
2025-06-23,8286.5
2025-06-24,8377.0
2025-06-25,8389.5
2025-06-26,8433.0
2025-06-27,8436.0
